player_register_id,direction,gap_years,kbo_season,mlb_season,player,kbo_rel_avg,mlb_rel_avg,kbo_rel_babip,mlb_rel_babip,kbo_rel_bb_pct,mlb_rel_bb_pct,kbo_rel_hr_pct,mlb_rel_hr_pct,kbo_rel_iso,mlb_rel_iso,kbo_rel_k_pct,mlb_rel_k_pct,kbo_rel_obp,mlb_rel_obp,kbo_rel_slg,mlb_rel_slg,kbo_age,mlb_age,kbo_PA,mlb_PA,cohort,first_kbo,first_mlb,n_kbo,n_mlb
adduci001jam,kbo_to_mlb,2,2016,2018,Jim Adduci*,1.0066289985318324,1.0770360240958514,1.0572058304780372,1.1539411537048743,0.7095649817716031,0.3827940907884807,0.9997545714172384,0.5375566793292845,1.2337136547662866,0.7389303131263975,1.282613535509657,1.0928679790038298,0.9225288027731963,0.910334361803329,1.0833223609398752,0.9436876628266095,31,33,272,185,posted_from_kbo,2015,2018,2.0,1.0
alther001aar,mlb_to_kbo,2,2020,2018,Aaron Altherr,1.0190696168587188,0.7302834226948844,1.0679121436672323,0.8342002985375834,0.8980121622199154,1.4908822483340827,2.359455413747417,0.9305074683126796,1.9298173784256838,0.942957906933,1.568467689928877,1.4345756277995692,1.008692079234042,0.9264256742562578,1.3228463583072367,0.8141619051837415,29,27,546,285,import_returnee,2020,2015,2.0,4.0
asuaje000car,mlb_to_kbo,1,2019,2018,Carlos Asuaje*,0.9419359806966655,0.7895596745370016,0.9113786812800837,0.8222923467451874,1.56981068179302,1.2993927852453016,0.5655462697492832,0.3041222803544882,0.9920268733718569,0.5242700331982704,0.7172034403657404,0.948043476179673,1.0561029729383673,0.8980657046361682,0.9572418987712235,0.6849298567418778,27,26,194,218,import_returnee,2019,2017,1.0,2.0
brown-004and,mlb_to_kbo,2,2015,2013,Andrew Brown,0.9321358002178279,0.8942706229856111,0.9174666888823614,0.9174308807243196,1.3223510949869097,0.9949283821824805,1.9506820115688417,1.6827069233419802,1.5623556246543127,1.2120706836779096,1.2668368709440307,1.3429437936983564,1.0096668777127262,0.9078747004452693,1.1524439978097933,1.0089000941648187,30,28,539,165,import_returnee,2015,2013,1.0,1.0
camero000daz,mlb_to_kbo,2,2026,2024,Daz Cameron,1.0712603196761572,0.8220726715717048,1.0229060828610375,0.8604742508001163,1.0180922402806694,0.8541638306622672,1.208686598640905,0.8994210546034639,1.3750204195374134,0.8299256985351732,0.8674255158690496,1.2143199434346532,1.0401577525191408,0.8268364914098953,1.1733749074062296,0.8251399992258522,29,27,314,186,import_returnee,2026,2024,1.0,1.0
cave--000jak,mlb_to_kbo,1,2025,2024,Jake Cave*,1.1439373954968266,1.0307722352524473,1.1217183250547853,1.1524903992616942,0.7925718719171123,0.6357804591056627,1.26853594199328,0.6769053254876936,1.2866342799604868,0.9331700438074916,0.993604020784332,1.2543706182096148,1.0362284024438047,0.9286931606415492,1.1906044286610546,0.9926496231288449,32,31,593,346,import_returnee,2025,2018,1.0,6.0
choi--001hee,mlb_to_kbo,2,2007,2005,Hee-Seop Choi*,1.2819678978290485,0.9570945619558545,1.290795536178751,0.9760480786317516,0.8825047152018107,1.131831450619137,1.76480020690547,1.513538750855786,1.651521871316161,1.294939665239393,1.1645791963319934,1.3215722774300096,1.135932249568613,1.0173924495289186,1.3949321207224739,1.0816513378826367,28,26,220,368,import_returnee,2007,2003,7.0,3.0
choo--001shi,mlb_to_kbo,2,2021,2019,Shin-Soo Choo*,1.0193542952214476,1.0491399405533819,1.0354107408912365,1.1173373413114784,1.6901131282627526,1.3867831507907002,1.7532830087546902,1.0009498765697111,1.5096874012826587,1.0408679273015184,1.1663169126499913,1.0888833103705953,1.1798182082006947,1.1503499226720963,1.1774759487153876,1.0456665579398015,38,36,580,660,import_returnee,2021,2006,4.0,13.0
franco001jul,kbo_to_mlb,2,2000,2002,Julio Franco,1.2098586420233903,1.0868276737981075,1.173919916904964,1.1823926211176623,1.2226183255736833,1.1696769544236476,1.5005018053063566,0.577875585067483,1.212509705537869,0.6285738147217389,0.9519241271998192,1.1640252057942588,1.1595425599425107,1.0777472514290376,1.2108064549243436,0.9159962464875145,41,43,549,383,import_returnee,2000,1983,1.0,19.0
garcia004ado,mlb_to_kbo,1,2018,2017,Adonis García,1.1855460792491586,0.9294900382640747,1.051092102790424,0.8230058079763887,0.5378739502505955,0.44777224620923006,1.2584426211380675,0.8292718948456653,1.1007164336294226,0.6424867132901412,0.6461175040695308,0.5807012423436769,1.0864958067821335,0.8420848446839155,1.1546354792589697,0.8143012454423116,33,32,206,183,import_returnee,2018,2015,1.0,3.0
