player_register_id,direction,gap_years,kbo_season,mlb_season,player,kbo_rel_bb_pct,mlb_rel_bb_pct,kbo_rel_era,mlb_rel_era,kbo_rel_h_pct,mlb_rel_h_pct,kbo_rel_hr_pct,mlb_rel_hr_pct,kbo_rel_k_pct,mlb_rel_k_pct,kbo_age,mlb_age,kbo_batters_faced,mlb_batters_faced,cohort,first_kbo,first_mlb,n_kbo,n_mlb
adlema001tim,mlb_to_kbo,1,2018,2017,Tim Adleman,0.8770609531790714,1.1243094898764445,0.9768130288922524,1.268230076422237,1.0497835936693727,1.0250004851409686,0.8550104879763916,1.6576067593016746,0.9622547862717835,0.9397346559961052,30,29,758.0,531.0,import_returnee,2018,2016,1.0,2.0
albers001and,mlb_to_kbo,1,2014,2013,Andrew Albers*,0.6262154750458876,0.35500224943489805,1.12958311749769,1.0488547172833573,1.181518142460636,1.1288707916501965,1.0554048075127938,0.9557543626555137,0.9520896009264992,0.5056264283502848,28,27,673.0,249.0,import_returnee,2014,2013,1.0,2.0
anders000sha,mlb_to_kbo,2,2023,2021,Shaun Anderson,0.8465385862516213,1.1140490263758798,0.9079046935122563,1.9928507659387533,0.9807168375870666,1.3368926898931703,1.0867153679653678,0.9867255676637867,1.074289535272484,0.6610323805295849,28,26,336.0,248.0,import_returnee,2023,2019,1.0,3.0
anders000sha,kbo_to_mlb,1,2023,2024,Shaun Anderson,0.8465385862516213,0.1437778031703002,0.9079046935122563,2.0297638226912667,0.9807168375870666,1.8325992516887228,1.0867153679653678,1.180886937573489,1.074289535272484,0.5210230899165987,28,29,336.0,170.0,import_returnee,2023,2019,1.0,3.0
anders012and,kbo_to_mlb,1,2025,2026,Drew Anderson,0.8032363511788673,1.1116855664629939,0.5232407973390278,0.8657215770148036,0.7613062503483202,0.9461310973073606,0.8807022892636173,1.063445523836173,1.7931821794104974,1.137226009121581,31,32,694.0,434.0,posted_from_kbo,2024,2026,2.0,1.0
avila-003ped,mlb_to_kbo,2,2026,2024,Pedro Avila,0.7749841538136488,1.2463458291816392,0.30010001971542466,0.9357647730955705,0.7781077641069156,0.947448621623773,0.0,0.7582654556656965,1.4015691868758915,1.0287623050194596,29,27,275.0,706.0,import_returnee,2026,2023,1.0,2.0
barnes006cha,mlb_to_kbo,1,2022,2021,Charlie Barnes*,0.6770577424038055,1.0525110801570217,0.8926951040196743,1.3905457896303104,0.9764354545587928,1.2104183973254987,0.5236426583077967,0.6991655450874832,1.0853993395051282,0.49304069284612645,26,25,788.0,175.0,import_returnee,2022,2021,4.0,1.0
barria000jai,mlb_to_kbo,1,2024,2023,Jaime Barria,0.4834019204389575,0.9644881199229264,1.0491353904827947,1.314005438511779,1.1572285904973105,1.1332375252287685,0.983275811741273,1.7333830457919535,1.0840375137129863,0.7535698757114038,27,26,405.0,362.0,import_returnee,2024,2018,1.0,5.0
bautis001den,mlb_to_kbo,2,2012,2010,Denny Bautista,1.5196711736073552,2.0224609288269644,0.9310744497431078,0.919018036021515,0.8338888888888889,0.6943332248661798,1.2300878048780488,1.0248135634408988,1.7817625899280576,1.5158314769918244,31,29,375.0,157.0,import_returnee,2012,2004,2.0,5.0
bell--005cha,mlb_to_kbo,2,2019,2017,Chad Bell*,0.9852403752486996,1.2385236239614636,0.8407423699593929,1.5929512318184758,0.9548385294758424,1.2134288193988274,1.025401389887371,1.2430587584171202,1.037202704178787,0.8988417656754555,30,28,749.0,293.0,import_returnee,2019,2017,2.0,1.0
below-001dua,mlb_to_kbo,1,2013,2012,Duane Below*,1.2900287356321838,0.5300113201398129,0.9312963929420187,0.9696146507487031,0.9329005748357877,1.1352046005066474,0.27046582803161756,1.1850329106105353,1.0535139074156414,0.7758268775399396,27,26,208.0,189.0,import_returnee,2013,2012,1.0,1.0
