key_mlbam,season,batters_faced,SO,BB,HR,H,ER,R,G,GS,SV,W,L,age,IP
150003,2005,74,10,5,4,16,13,13,3,3,0,1,1,28,17.2
150003,2006,40,4,6,3,10,8,9,2,2,0,1,1,29,7.2
150208,1999,57,0,6,2,23,11,12,13,0,0,1,0,24,11.1
150208,2006,299,50,38,9,66,34,36,69,0,5,1,1,31,67.2
150242,2002,3,1,0,0,0,0,0,1,0,0,0,0,25,1.0
150242,2003,806,110,46,18,193,80,94,32,31,0,9,12,26,188.1
150242,2004,512,54,50,17,133,64,67,24,21,0,5,10,27,117.2
150242,2005,363,59,16,9,84,26,26,14,14,0,8,2,28,90.1
150242,2006,1414,176,112,62,394,186,202,72,52,0,6,24,29,314.0
150242,2007,248,28,16,11,84,47,53,11,10,0,3,4,30,52.0
150281,1999,262,39,35,10,71,44,46,13,10,0,2,4,24,54.2
150281,2000,412,33,41,15,107,55,65,16,16,0,5,7,25,88.2
150281,2001,219,15,26,7,59,36,38,12,9,0,1,5,26,46.0
150281,2004,89,14,8,4,19,9,9,6,2,0,1,0,29,20.0
150281,2005,82,15,7,5,24,13,16,5,3,0,0,4,30,17.0
150284,2001,52,7,3,5,18,12,12,4,0,0,0,0,25,10.2
150284,2002,41,7,5,2,11,11,12,7,0,0,0,0,26,8.2
150284,2008,57,10,7,0,14,7,7,4,2,0,1,0,32,12.0
150295,1999,530,82,68,18,162,116,120,28,22,0,4,14,24,102.0
150295,2002,55,8,8,1,12,2,2,13,0,0,2,0,27,12.0
150295,2003,38,4,2,1,13,7,7,6,0,0,0,1,28,8.1
150295,2006,75,11,7,1,11,3,3,15,0,0,0,1,31,19.2
150295,2007,248,42,27,7,55,29,30,30,8,0,4,3,32,57.1
150295,2008,38,5,3,1,11,8,8,10,0,0,0,1,33,8.0
150343,2004,41,6,4,1,15,5,7,4,0,0,0,0,27,7.2
150474,1999,3,0,1,0,0,0,0,1,0,0,0,0,22,1.0
150474,2001,429,63,32,16,98,55,61,46,11,0,5,5,24,100.1
150474,2002,604,70,52,21,136,80,86,41,22,1,7,8,25,138.1
150474,2003,558,74,44,12,154,66,66,84,0,0,4,0,26,125.1
150474,2004,82,8,8,2,18,7,9,4,3,0,2,1,27,18.0
150474,2005,284,58,20,10,74,40,41,15,11,0,5,4,28,64.2
150474,2007,334,51,27,12,87,42,44,67,0,2,6,5,30,77.1
150474,2008,492,74,44,14,128,64,66,94,0,0,4,6,31,108.2
209068,1999,99,11,14,2,30,16,20,5,4,0,1,2,24,19.1
209068,2001,20,2,2,2,3,4,4,2,0,0,0,0,26,5.0
209068,2002,147,23,11,4,31,16,20,6,6,0,2,1,27,34.1
209068,2003,568,82,48,14,168,90,100,46,14,0,2,14,28,121.1
209068,2004,58,9,7,2,18,10,10,4,3,0,0,1,29,11.1
216194,1999,36,5,4,4,10,6,6,4,0,0,0,0,24,7.1
216194,2000,123,13,20,5,30,17,18,7,4,0,3,0,25,24.1
216194,2001,22,4,1,1,8,7,7,4,0,0,1,1,26,4.1
218294,1999,121,31,20,2,20,14,15,25,0,1,1,2,20,27.1
218294,2000,320,111,46,9,52,35,39,61,1,14,6,6,21,70.2
218294,2001,392,113,44,10,58,32,32,78,0,19,5,6,22,98.0
218294,2002,343,92,26,5,64,19,20,72,0,36,8,3,23,84.0
218294,2003,1034,204,66,24,208,90,110,112,24,32,18,20,24,244.2
218294,2004,77,6,7,1,17,12,15,7,3,0,2,1,25,17.1
218294,2005,667,115,71,17,156,80,82,40,22,0,5,12,26,148.0
218294,2006,689,129,61,18,179,96,103,27,27,0,8,12,27,155.0
218294,2007,1124,214,136,40,262,160,180,56,44,0,20,16,28,236.2
233694,1999,18,2,4,0,3,2,3,4,0,0,0,0,25,3.2
233694,2003,18,1,0,1,8,4,5,2,0,0,0,0,29,3.0
233694,2005,213,36,10,9,50,24,24,50,0,2,2,0,31,52.2
233694,2006,124,14,6,3,35,14,14,30,0,0,3,1,32,29.1
234194,1999,162,29,17,7,36,25,28,7,7,0,1,3,21,37.2
234194,2000,18,2,3,0,6,7,7,4,0,0,0,0,22,3.0
234194,2005,62,13,4,4,16,13,13,10,0,0,0,0,27,14.0
234194,2007,462,74,32,19,117,62,67,22,20,0,8,7,29,107.0
234194,2008,259,59,26,5,52,25,26,45,0,0,2,0,30,62.2
234194,2009,107,12,12,5,35,21,23,16,0,0,0,1,31,21.1
234194,2011,34,9,7,1,5,4,4,8,0,0,0,1,33,7.2
234194,2014,119,28,5,2,23,5,6,27,0,0,1,1,36,31.0
234194,2015,32,6,1,0,8,5,5,11,0,1,1,0,37,8.0
235097,1999,84,10,12,5,26,19,19,5,3,0,1,2,24,16.0
235097,2000,17,0,4,0,4,3,3,1,0,0,0,0,25,2.2
235097,2001,149,24,14,7,28,17,18,35,0,1,1,2,26,35.2
235097,2002,366,46,39,7,90,37,42,43,6,0,5,4,27,81.0
235097,2003,347,48,36,7,78,44,51,65,0,0,2,2,28,76.2
237334,1999,28,3,5,1,8,7,8,3,0,0,0,0,27,5.1
237694,1999,25,9,3,1,2,1,1,7,0,0,1,0,31,7.0
237694,2000,59,9,7,1,21,14,15,13,0,0,0,2,32,11.1
275931,2000,49,6,4,2,11,4,4,9,0,0,0,0,29,11.2
276373,2004,20,4,2,2,7,6,6,3,0,0,0,0,29,3.2
276373,2006,73,8,6,1,17,4,5,5,2,0,2,0,31,17.2
276373,2007,34,5,2,4,9,7,8,4,0,0,0,0,32,7.2
276540,2000,513,118,54,6,111,44,53,19,19,0,6,6,30,122.2
276540,2001,385,71,35,10,89,46,47,15,15,0,5,5,31,88.0
276914,2008,33,5,5,2,11,10,10,5,0,0,0,0,30,6.2
276914,2010,62,18,6,4,12,7,9,14,0,0,0,1,32,14.0
277406,2000,73,7,12,4,18,10,10,13,0,0,0,0,27,17.1
279615,2001,201,27,21,1,54,27,27,20,2,0,0,2,23,41.2
279615,2002,416,58,28,10,104,52,52,38,10,0,6,0,24,98.2
279615,2003,72,5,8,6,24,13,13,4,3,0,0,1,25,14.0
279615,2004,603,87,55,17,145,69,80,43,17,0,4,6,26,135.2
279615,2005,726,110,42,20,194,90,92,48,20,0,12,6,27,165.1
279615,2006,146,16,16,10,48,38,38,16,2,0,0,2,28,27.1
282327,2000,170,8,26,8,54,42,48,16,4,0,0,6,25,30.0
282327,2001,301,47,32,11,66,33,36,57,0,0,2,4,26,68.1
282327,2002,70,24,11,2,15,11,11,16,0,0,1,1,27,14.0
282327,2005,70,11,10,2,10,5,6,15,0,0,1,1,30,16.2
282327,2007,59,10,8,2,17,7,7,11,0,0,0,1,32,11.1
319114,2000,344,54,50,18,104,70,72,40,0,0,2,0,27,66.2
319114,2001,121,19,12,1,31,12,13,29,0,0,0,0,28,26.1
319114,2004,50,8,7,3,13,6,7,7,0,0,0,0,31,10.0
330892,2000,145,17,11,3,38,16,16,20,0,0,0,1,23,34.1
330892,2001,487,67,32,26,132,63,78,29,15,1,6,5,24,109.1
330892,2002,91,10,5,7,29,17,18,12,0,0,2,0,25,18.2
330892,2003,328,42,16,13,92,43,49,29,4,0,6,3,26,72.2
330892,2006,42,6,4,4,14,8,8,5,1,0,0,0,29,8.1
346801,2001,82,6,14,6,20,17,17,5,5,0,0,2,23,16.1
346801,2003,22,2,3,1,6,4,4,3,0,0,0,1,25,4.2
346801,2004,16,0,1,0,7,5,5,3,0,0,0,0,26,2.2
346801,2010,307,30,29,4,77,30,31,49,2,0,6,2,32,69.1
346801,2011,56,7,6,1,17,11,12,12,0,0,0,1,33,11.0
400062,2001,249,55,24,11,62,34,38,13,9,0,3,1,23,55.2
400062,2002,325,63,35,10,78,44,49,18,14,0,3,6,24,73.1
400062,2003,769,116,65,16,179,72,85,33,32,0,10,14,25,176.0
400062,2004,465,56,43,15,125,64,73,27,17,0,5,7,26,100.2
400062,2005,308,38,34,14,88,72,82,20,14,0,0,12,27,61.1
400062,2007,366,47,38,10,84,34,35,15,15,0,3,6,29,84.0
400062,2008,791,120,65,27,195,100,110,33,33,0,10,11,30,182.0
400062,2009,525,76,50,18,122,68,72,30,17,0,3,6,31,120.0
400113,2003,41,6,7,2,11,9,9,7,0,0,0,2,26,8.0
400113,2006,84,21,12,2,19,12,13,10,2,0,0,1,29,17.1
400113,2008,49,12,9,0,13,7,7,6,0,0,1,1,31,10.1
400141,2003,781,100,72,21,181,81,91,29,29,0,12,4,23,182.1
400141,2004,259,31,30,7,51,16,24,10,9,0,2,4,24,60.1
400141,2005,847,80,67,31,214,104,108,33,32,0,11,9,25,202.1
400141,2006,337,37,31,6,85,38,42,14,14,0,5,5,26,76.1
400141,2007,459,40,42,13,139,78,86,20,20,0,8,7,27,98.0
400141,2008,336,26,18,2,90,36,40,64,0,0,2,8,28,74.2
400141,2009,104,13,11,3,27,15,16,19,1,0,0,2,29,22.2
400141,2011,40,4,2,1,16,6,7,12,0,0,1,0,31,9.0
407400,2001,143,16,9,7,35,17,22,6,6,0,0,5,24,33.0
407400,2002,358,45,36,12,84,37,41,56,1,1,6,7,25,83.2
407400,2003,259,43,24,5,58,31,36,35,0,0,0,0,26,61.1
407400,2004,230,37,20,4,49,28,31,23,2,0,2,1,27,53.2
407400,2005,40,5,4,2,13,9,9,5,0,0,0,0,28,8.1
407400,2006,302,35,25,4,73,28,31,58,1,2,3,1,29,71.0
407400,2008,30,4,3,1,10,9,9,4,0,0,0,0,31,6.0
407784,2002,56,11,5,0,14,2,3,4,1,0,2,0,25,12.2
407784,2003,28,5,1,1,5,3,3,6,0,0,0,0,26,7.2
407794,2002,27,4,2,0,8,5,5,1,1,0,0,1,21,6.0
407794,2003,247,47,31,8,56,32,32,44,0,1,6,2,22,57.0
407794,2004,75,11,10,3,17,8,13,3,3,0,1,1,23,15.1
407795,2002,18,1,3,0,5,2,2,1,1,0,0,0,22,4.0
407795,2004,75,13,5,3,20,15,16,12,0,1,0,0,24,16.0
407795,2007,38,8,3,1,12,7,7,3,1,1,0,0,27,7.2
407808,2004,226,33,16,13,62,37,38,18,7,0,2,5,23,49.1
407832,2011,4,0,0,0,0,0,0,1,0,0,1,0,33,1.0
407838,2007,137,16,13,8,32,18,18,7,6,0,3,0,29,32.2
407843,2002,131,5,6,2,38,10,13,5,5,0,1,3,22,30.0
408052,2003,53,7,6,5,16,11,13,4,1,0,0,1,24,10.1
408052,2005,79,8,4,1,19,7,7,5,2,1,0,1,26,18.2
408052,2006,54,7,9,3,16,12,12,7,0,0,0,1,27,10.1
408052,2007,331,56,24,7,81,41,43,51,0,0,3,3,28,77.1
408052,2008,90,14,12,2,30,18,18,10,0,0,0,1,29,16.0
408052,2009,70,13,9,1,16,18,18,13,0,0,0,0,30,14.2
408052,2013,7,1,2,0,2,1,1,1,0,0,0,0,34,1.0
408249,2003,125,15,17,3,26,13,13,23,0,1,1,2,30,28.1
408249,2006,103,22,16,5,23,12,13,22,0,0,0,1,33,20.0
408250,2004,141,25,12,5,35,17,17,10,5,0,1,2,28,32.2
424465,2002,316,45,22,8,79,36,36,12,12,0,4,4,24,74.1
424465,2003,397,48,37,9,87,47,51,16,16,0,7,5,25,91.2
424465,2005,706,88,70,18,172,98,101,29,29,0,8,14,27,159.2
424465,2006,508,50,48,22,145,79,87,21,21,0,6,10,28,109.2
424465,2008,98,15,11,4,32,18,19,4,4,0,0,3,30,19.1
424668,2003,42,3,7,1,8,5,5,4,0,0,0,0,25,9.1
