key_mlbam,season,PA,AB,H,2B,3B,HR,SO,BB,IBB,HBP,SF,SH,TB,RBI,SB,CS,R,G,GIDP,age
656448,2022,84,76,21,8,0,4,27,3,0,1,1,0,41,10,3,1,13,27,1,26
656448,2023,271,234,63,17,0,9,82,26,0,3,5,0,107,40,3,1,40,89,6,27
656448,2024,6,5,3,1,0,1,0,1,0,0,0,0,7,3,0,0,2,2,0,28
656541,2019,87,77,21,4,2,7,23,9,0,1,0,0,50,13,2,0,13,27,1,25
656541,2020,114,105,22,2,2,6,42,9,0,0,0,0,46,10,3,0,13,36,0,26
656541,2021,238,214,46,7,2,14,87,23,3,1,0,0,99,34,5,0,32,81,0,27
656541,2022,200,174,32,6,1,2,57,23,0,1,2,0,46,14,5,1,26,70,2,28
656541,2023,78,72,17,5,0,3,33,6,0,0,0,0,31,6,4,0,15,40,1,29
656541,2024,158,138,33,5,1,10,56,14,1,0,2,4,70,27,5,2,26,58,3,30
656541,2025,61,51,10,3,1,2,23,10,0,0,0,0,21,3,2,1,8,20,1,31
656847,2021,480,446,88,18,2,26,164,24,8,4,6,0,188,76,4,0,58,140,8,25
657434,2019,48,42,8,2,1,2,17,4,0,2,0,0,18,3,0,0,4,28,0,27
657434,2020,5,5,2,1,0,0,1,0,0,0,0,0,3,0,1,0,2,2,0,28
657434,2021,61,51,8,3,0,2,17,8,0,0,1,1,17,9,0,0,8,32,1,29
657756,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,29
657756,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,30
658431,2021,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,24
658431,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,25
658648,2019,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,22
658648,2021,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,24
658648,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,27
658792,2017,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,28
658792,2018,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,29
658792,2019,3,3,1,0,0,1,1,0,0,0,0,0,4,2,0,0,1,8,0,30
660365,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,33
663399,2021,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,27
663531,2019,5,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,8,0,22
663531,2021,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,24
663662,2020,59,57,11,2,1,0,19,2,0,0,0,0,15,3,1,0,4,17,1,23
663662,2021,115,103,20,5,0,4,38,10,0,2,0,0,37,13,6,0,16,35,2,24
663662,2022,70,64,14,3,1,1,20,5,0,1,0,0,22,8,2,0,6,21,1,25
663662,2024,186,170,34,5,1,5,51,13,0,1,2,0,56,15,5,0,22,66,3,27
663662,2025,42,41,8,1,0,1,13,1,0,0,0,0,12,3,1,0,7,21,1,28
663662,2026,25,24,5,1,0,1,7,0,0,0,1,0,9,3,0,0,3,8,0,29
663978,2019,46,42,5,0,0,0,19,0,0,0,0,4,5,2,0,0,3,26,0,23
663978,2021,42,35,1,0,0,0,26,1,0,1,0,5,1,0,0,0,0,24,0,25
663978,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27
664057,2017,66,57,9,2,0,0,20,7,0,0,0,2,11,1,1,0,5,37,0,23
664057,2018,86,75,19,2,0,1,23,6,0,1,3,1,24,13,1,1,9,57,0,24
